trail_id,activity
10333569,hiking
10333569,nature-trips
10347459,hiking
10347459,walking
10302108,hiking
10302108,nature-trips
10302108,trail-running
10302108,walking
10333558,hiking
10333558,nature-trips
10333558,walking
10513937,hiking
10513937,nature-trips
10513937,trail-running
10333557,hiking
10333557,nature-trips
10333557,walking
10302122,hiking
10302122,mountain-biking
10302122,nature-trips
10302122,walking
10187810,backpacking
10187810,camping
10187810,hiking
10187810,nature-trips
10016964,birding
10016964,camping
10016964,hiking
10016964,nature-trips
10016964,walking
10016964,horseback-riding
10237812,backpacking
10237812,birding
10237812,hiking
10237812,nature-trips
10245012,backpacking
10245012,birding
10245012,camping
10245012,hiking
10245012,nature-trips
10265905,birding
10265905,hiking
10265905,nature-trips
10265905,walking
10266148,walking
10094721,backpacking
10094721,camping
10094721,hiking
10094721,trail-running
10026816,birding
10026816,hiking
10026816,nature-trips
10026816,trail-running
10026816,walking
10235665,backpacking
10235665,hiking
10235665,nature-trips
10266521,hiking
10266521,trail-running
10266521,horseback-riding
10016127,backpacking
10016127,birding
10016127,hiking
10016127,nature-trips
10016127,trail-running
10016127,walking
10034910,birding
10034910,hiking
10034910,nature-trips
10034910,trail-running
10034910,walking
10337353,hiking
10013850,hiking
10013850,nature-trips
10013850,walking
10031380,birding
10031380,hiking
10031380,nature-trips
10304374,backpacking
10304374,camping
10304374,hiking
10236025,hiking
10236025,walking
10013966,birding
10013966,hiking
10013966,nature-trips
10013966,trail-running
10013966,walking
10013966,horseback-riding
10004120,backpacking
10004120,birding
10004120,camping
10004120,hiking
10004120,nature-trips
10006500,backpacking
10006500,birding
10006500,camping
10006500,hiking
10006500,nature-trips
10006500,trail-running
10259347,backpacking
10259347,birding
10259347,hiking
10259347,nature-trips
10259347,trail-running
10259347,walking
10041313,backpacking
10041313,birding
10041313,hiking
10041313,nature-trips
10041313,trail-running
10244240,hiking
10244240,trail-running
10244240,walking
10111405,birding
10111405,hiking
10111405,nature-trips
10111405,walking
10111405,horseback-riding
10265266,backpacking
10265266,hiking
10286650,birding
10286650,hiking
10286650,nature-trips
10286650,horseback-riding
10031336,backpacking
10031336,hiking
10031336,trail-running
10031337,birding
10031337,hiking
10031337,nature-trips
10031337,walking
10304469,hiking
10304469,nature-trips
10304469,walking
10273263,backpacking
10273263,camping
10273263,hiking
10000811,hiking
10000811,nature-trips
10000811,walking
10009957,backpacking
10009957,camping
10009957,hiking
10009957,trail-running
10009957,horseback-riding
10006953,backpacking
10006953,birding
10006953,camping
10006953,hiking
10006953,nature-trips
10006953,trail-running
10297089,backpacking
10297089,camping
10297089,nature-trips
10040243,backpacking
10040243,birding
10040243,camping
10040243,hiking
10040243,nature-trips
10040243,trail-running
10026822,camping
10026822,hiking
10242023,birding
10242023,hiking
10242023,nature-trips
10242023,trail-running
10242023,walking
10255289,backpacking
10255289,camping
10255289,hiking
10004435,hiking
10004435,nature-trips
10004435,horseback-riding
10258667,birding
10258667,hiking
10258667,nature-trips
10258667,trail-running
10258667,walking
10236026,hiking
10236026,nature-trips
10236026,walking
10258648,birding
10258648,hiking
10258648,trail-running
10257085,backpacking
10257085,birding
10257085,camping
10257085,hiking
10257085,nature-trips
10236022,hiking
