trail_id,park_id,trail_name,length,elevation_gain,route_type,latitude,longitude,gain_per_foot
10333569,253,Bison Gulch to Denali Visitors Center,15771.532,1385.9257,point to point,63.80495,-148.95416,0.08787514
10027315,225,Dante's View Trail,2574.944,109.728,out and back,36.22072,-116.72648,0.04261374
10347459,142,Brooks Falls,4667.086,63.7032,out and back,58.55986,-155.77753,0.01364946
10271411,225,Devil's Golf Course,4184.284,21.9456,out and back,36.29856,-116.8117,0.005244768
10029806,123,Sugar Pine Trail,6598.294,141.732,loop,36.55501,-118.74921,0.021480097
10024435,296,Bald Hills Road,51016.08,1357.884,point to point,41.20827,-123.75558,0.026616786
10034011,225,Zabriskie Point,643.736,15.8496,out and back,36.42095,-116.80986,0.024621272
10414982,225,Mt. Perry,14001.258,636.7272,out and back,36.22096,-116.72655,0.045476425
10040395,225,Grotto Canyon,3379.614,204.8256,out and back,36.58239,-117.10433,0.06060621
10027722,252,Corral Meadow Loop Trail,15771.532,561.7464,out and back,40.48827,-121.42236,0.035617743
10036080,219,Pinkham Canyon OHV Road,30577.46,99.9744,point to point,33.74795,-115.82493,0.0032695455
10239051,93,High Point Trail,482.802,9.7536,out and back,38.56258,-107.74128,0.02020207
10295748,138,Alder Creek Falls,2574.944,50.9016,out and back,36.02707,-118.51524,0.01976804
10263509,147,Homan Path loop,2253.076,147.828,loop,44.36327,-68.20723,0.06561164
10302108,244,Bartlett River Trail,11104.446,266.7,out and back,58.4543,-135.86902,0.024017407
10031310,217,Huckleberry Mountain Lookout,18185.543,844.9056,out and back,48.59664,-114.03829,0.04646029
10235906,146,Sunrift Gorge Trail,2092.142,109.728,out and back,48.67865,-113.59524,0.05244768
10333558,253,McKinley Station and Morino Loop Trail,1448.406,33.8328,loop,63.7315,-148.91785,0.023358645
10333818,130,Beech Flats Quiet Walkway,2092.142,71.9328,out and back,35.59888,-83.4125,0.03438237
10236048,70,Upper Paddock Creek Trail,24783.836,357.8352,out and back,46.93194,-103.43163,0.014438249
10035421,276,Lost Canyon,13196.588,238.9632,loop,38.14294,-109.80365,0.018107953
10262613,48,South Guardian Angel via Kolob Terrace,18346.477,959.8152,out and back,37.33997,-113.07591,0.05231605
10029441,271,Metal Masher OHV Trail,35888.28,787.908,loop,38.59632,-109.69377,0.021954466
10014038,42,Pine Hill Gap Trail,10782.578,560.832,loop,38.59182,-78.27437,0.05201279
10027353,265,Brooklyn Mine OHV Trail,16737.137,268.8336,out and back,33.97667,-115.68128,0.016062101
10013576,121,Camp Ridge Trail,2253.076,65.8368,out and back,38.61764,-78.3425,0.029220853
10028805,198,Twin Firs Loop Trail,643.736,28.956,loop,46.73364,-121.8382,0.04498117
10020646,126,Harry Wade Road OHV Trail,50694.21,227.9904,point to point,35.89917,-116.65586,0.0044973656
10513937,117,Dumpling Mountain,4828.02,225.8568,out and back,58.55626,-155.77832,0.04678042
10333557,253,Spruce Tree Trail,643.736,23.7744,loop,63.73136,-148.91762,0.03693191
10302122,244,Bartlet Lake Trail,9495.106,141.732,out and back,58.46205,-135.77322,0.014926846
10259176,283,Cascade Lake Trail to Observation Peak,14966.862,474.8784,out and back,44.75033,-110.49141,0.031728655
10343125,123,High Sierra Trail to Lakes Trail,17702.74,913.7904,point to point,36.5547,-118.74885,0.051618584
10187810,183,Bright Angel Trail to Bright Angel Campground and River Trail,28485.318,1525.8289,out and back,36.05735,-112.14381,0.05356545
10016964,183,South Kaibab Trail to Cedar Ridge,4988.954,358.7496,out and back,36.05346,-112.08361,0.07190878
10237812,183,Three-Mile Resthouse via Bright Angel Trail,8690.436,635.8128,out and back,36.05701,-112.14414,0.07316236
10245012,183,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",26875.979,1400.8608,point to point,36.05344,-112.08364,0.052123155
10265905,183,South Kaibab Trail to Ooh Aah Point,2896.812,210.9216,out and back,36.05309,-112.08387,0.072811626
