trail_id,popularity,difficulty_rating,visitor_usage,avg_rating,num_reviews
10020048,24.8931,5,3,5,423
10236086,18.0311,3,1,4.5,260
10267857,17.7821,1,3,4.5,224
10236076,16.2674,1,2,4.5,237
10236082,12.5935,5,1,4.5,110
10241620,8.8331,5,1,4.5,43
10236080,7.6876,3,1,4,39
10236075,5.9038,3,1,4,27
10236084,5.8885,1,1,4.5,21
10327620,5.799,5,1,4.5,5
10265252,5.6536,1,2,4,17
10333556,4.6043,3,2,4.5,15
10265251,4.1956,3,2,4.5,6
10393562,3.958,5,1,4.5,3
10262541,3.8939,1,2,4.5,14
10358126,3.6654,5,1,5,8
10236078,3.4891,1,1,4,11
10343441,3.3846,1,2,4,13
10023165,3.304,3,,4.5,5
10333569,2.7746,5,2,5,5
10347459,2.4937,1,2,4.5,4
10302108,2.33,1,1,3,7
10333558,2.0877,3,2,3,4
10513937,2.0328,3,1,4,5
10333557,1.8986,1,2,3,6
10302122,1.86,1,1,3.5,4
10265266,1.803,3,2,0,0
10302112,1.3701,1,1,3.5,4
10302114,1.3415,3,1,4,2
10187810,37.4791,5,3,5,670
10016964,36.2709,3,3,5,489
10237812,33.256,5,3,4.5,454
10245012,31.6323,5,3,5,519
10265905,28.8685,3,3,5,455
10266148,28.2035,1,3,4.5,342
10094721,24.0229,5,3,5,217
10026816,22.7206,1,1,5,224
10235665,22.5006,5,3,5,262
10266521,22.1688,5,2,5,229
10016127,21.652,1,3,4.5,158
10034910,20.8545,3,2,4.5,259
10337353,20.0835,3,3,4.5,238
10013850,19.8228,1,3,4.5,142
10031380,18.8699,3,3,4.5,229
10304374,16.7412,5,3,5,61
10236025,15.5733,1,3,4.5,163
10013966,15.5,3,2,4.5,135
10004120,14.8144,7,2,5,62
10006500,14.7746,5,2,4.5,88
10259347,14.7248,3,1,5,97
10041313,14.6866,5,2,4.5,80
10244240,14.3846,5,3,4.5,161
10111405,14.3478,3,2,4.5,95
10286650,13.8468,5,3,5,73
10031336,13.3343,3,2,4.5,100
10031337,12.6285,3,2,4,85
10304469,12.5954,1,3,4.5,52
10273263,12.4801,5,3,5,39
10000811,12.4222,1,2,4.5,54
10009957,12.4044,7,3,5,38
10006953,12.393,7,2,4.5,108
10297089,12.3532,7,2,5,61
10040243,12.302,7,1,4.5,45
10026822,12.0834,1,,4.5,76
10242023,11.8629,1,2,4,111
10255289,11.8608,5,3,5,27
10004435,11.8001,3,,4.5,103
10258667,11.7107,3,2,4.5,69
10236026,11.5545,1,1,4.5,95
10258648,11.1051,3,,4.5,39
10257085,11.0836,7,3,5,37
10236022,10.9378,1,1,4,61
10018269,10.9165,3,2,4.5,52
10265749,10.8324,5,3,5,30
10315767,10.6545,5,2,5,33
10023828,10.3784,1,2,4.5,27
10112001,10.3328,3,2,4,72
10042232,10.2641,5,1,5,10
10365390,10.1704,7,3,4.5,48
10267208,10.0467,3,2,4.5,65
10293249,9.9618,3,2,4.5,60
10258317,9.9197,1,3,4.5,28
10002324,9.7326,1,4,4,41
10274527,9.609,1,1,4,45
10009628,9.5621,1,2,4,43
10009444,9.227,5,1,4.5,26
10251377,9.1802,1,2,4,52
10042018,8.7642,3,1,4,59
10331092,8.6888,5,2,5,25
10002217,8.6324,1,1,4,61
10041071,8.6024,1,2,4,38
10236028,8.5243,1,2,4,46
10259343,8.5202,7,1,5,30
10306310,8.4605,3,2,4.5,56
10039522,8.2704,3,2,4.5,45
10304719,8.2646,7,3,5,24
10032774,8.2525,1,,4.5,39
10111504,7.9559,1,2,4.5,28
10246734,7.7075,5,2,5,23
10281018,7.7075,3,1,4.5,32
10038311,7.6339,1,1,4,50
10258602,7.5684,1,2,4.5,24
10011949,7.5414,3,2,4,35
10298010,7.479,3,2,4,20
10302747,7.4072,1,3,4.5,31
10259900,7.2569,1,2,4.5,14
10235597,7.2201,1,1,4,15
10311930,7.1664,3,2,4,33
10013382,7.1647,7,1,4.5,10
10236023,7.0465,1,1,4,41
10111280,7.0254,3,2,4,35
10258739,6.9609,5,1,4.5,18
10023951,6.9456,7,1,4.5,13
10270136,6.9205,3,1,4.5,19
10287374,6.8368,1,2,4.5,32
10272964,6.8325,5,1,5,20
10035690,6.7822,3,2,4.5,27
10258650,6.6276,1,2,4,18
10258659,6.4591,1,2,4.5,6
10258654,6.3809,1,1,4.5,10
10315676,6.3801,1,1,4,25
10259353,6.3369,7,1,4.5,10
10039514,6.2729,1,2,4,27
10013558,6.1769,5,2,3.5,15
10013912,5.9577,5,3,5,7
10272375,5.9341,1,1,4.5,22
10269962,5.8308,3,,4.5,16
10269284,5.7938,3,1,4,13
10259355,5.7315,5,1,4.5,7
10013747,5.7162,1,1,4,26
10259354,5.7123,5,1,5,6
10112153,5.6144,3,2,3.5,27
10389448,5.5548,5,2,4.5,13
10016910,5.4493,1,2,3.5,16
10267209,5.3994,3,2,4,23
10259344,5.3565,7,1,5,3
10266285,5.2788,7,3,5,9
10297375,5.2572,1,2,4,12
10013255,5.2356,1,2,3,17
10269670,5.0684,1,1,4,18
10384519,5.0517,5,2,4.5,3
10263759,5.05,7,2,4.5,7
10021291,5.0108,1,,4.5,10
10017278,4.9978,7,2,5,7
10268598,4.9944,3,1,4.5,15
10235600,4.9845,1,2,3,12
10398395,4.8374,1,2,4,14
10235592,4.6675,1,2,3.5,12
10306312,4.5595,3,2,4.5,15
10259348,4.557,7,1,4,3
10347292,4.4377,3,,4.5,10
