"trail_id","park_name","trail_name","difficulty_rating","popularity","rank","recommended"
10333569,"Denali National Park","Bison Gulch to Denali Visitors Center",5,2.7746,6,0
10027315,"Death Valley National Park","Dante's View Trail",1,17.5667,4,0
10347459,"Katmai National Park","Brooks Falls",1,2.4937,1,1
10271411,"Death Valley National Park","Devil's Golf Course",1,10.4936,10,0
10029806,"Sequoia National Park","Sugar Pine Trail",1,7.2659,12,0
10024435,"Redwood National Park","Bald Hills Road",5,4.9066,2,0
10034011,"Death Valley National Park","Zabriskie Point",1,18.3978,3,0
10414982,"Death Valley National Park","Mt. Perry",3,3.4547,22,0
10040395,"Death Valley National Park","Grotto Canyon",3,8.2998,7,0
10027722,"Lassen Volcanic National Park","Corral Meadow Loop Trail",3,2.2192,28,0
10036080,"Joshua Tree National Park","Pinkham Canyon OHV Road",3,8.2182,18,0
10239051,"Black Canyon of the Gunnison National Park","High Point Trail",3,5.7165,5,0
10295748,"Sequoia National Park","Alder Creek Falls",1,6.7246,14,0
10263509,"Acadia National Park","Homan Path loop",3,2.184,98,0
10302108,"Glacier Bay National Park","Bartlett River Trail",1,2.33,2,0
10031310,"Glacier National Park","Huckleberry Mountain Lookout",5,11.5576,11,0
10235906,"Glacier National Park","Sunrift Gorge Trail",1,7.1539,19,0
10333558,"Denali National Park","McKinley Station and Morino Loop Trail",3,2.0877,7,0
10333818,"Great Smoky Mountains National Park","Beech Flats Quiet Walkway",3,1.9921,113,0
10236048,"Theodore Roosevelt National Park","Upper Paddock Creek Trail",3,2.2356,13,0
10035421,"Canyonlands National Park","Lost Canyon",3,8.9843,15,0
10262613,"Zion National Park","South Guardian Angel via Kolob Terrace",5,7.1502,15,0
10029441,"Arches National Park","Metal Masher OHV Trail",5,5.4766,2,0
10014038,"Shenandoah National Park","Pine Hill Gap Trail",3,3.6808,81,0
10027353,"Joshua Tree National Park","Brooklyn Mine OHV Trail",3,5.5684,28,0
10013576,"Shenandoah National Park","Camp Ridge Trail",1,1.8792,36,0
10028805,"Mount Rainier National Park","Twin Firs Loop Trail",1,7.3328,21,0
10020646,"Death Valley National Park","Harry Wade Road OHV Trail",1,2.6317,25,0
10513937,"Katmai National Park","Dumpling Mountain",3,2.0328,1,1
10333557,"Denali National Park","Spruce Tree Trail",1,1.8986,6,0
10302122,"Glacier Bay National Park","Bartlet Lake Trail",1,1.86,3,0
10259176,"Yellowstone National Park","Cascade Lake Trail to Observation Peak",3,8.1875,22,0
10343125,"Sequoia National Park","High Sierra Trail to Lakes Trail",3,2.6308,23,0
10187810,"Grand Canyon National Park","Bright Angel Trail to Bright Angel Campground and River Trail",5,37.4791,1,1
10016964,"Grand Canyon National Park","South Kaibab Trail to Cedar Ridge",3,36.2709,1,1
10237812,"Grand Canyon National Park","Three-Mile Resthouse via Bright Angel Trail",5,33.256,2,0
