"trail_id","trail_name","park_name","latitude","longitude","length","elevation_gain","difficulty_rating","popularity","top"
10006571,"Angels Landing Trail","Zion National Park",37.25928,-112.95166,6598.294,492.8616,5,84.6229,1
10026705,"Emerald Lake Trail","Rocky Mountain National Park",40.31177,-105.64533,4988.954,215.7984,3,83.0341,1
10026910,"Vernal and Nevada Falls via the Mist Trail","Yosemite National Park",37.73495,-119.56619,10299.776,667.8168,3,68.1488,1
10235688,"Sky Pond via Glacier Gorge Trail","Rocky Mountain National Park",40.31052,-105.64032,13035.654,537.972,5,65.477,1
10012464,"Delicate Arch Trail","Arches National Park",38.73568,-109.5205,4988.954,186.8424,3,63.6748,1
10027395,"The Zion Narrows Riverside Walk","Zion National Park",37.28524,-112.94769,2896.812,62.7888,1,62.5499,1
10042715,"Alum Cave Trail to Mount LeConte","Great Smoky Mountains National Park",35.62957,-83.45172,17219.938,916.8384,5,61.3755,1
10234159,"Old Rag Mountain Loop","Shenandoah National Park",38.57052,-78.28729,13840.324,736.7016,5,59.6754,1
10008208,"Gem Lake Trail","Rocky Mountain National Park",40.39644,-105.51299,4988.954,301.752,3,54.6336,1
10005895,"Upper Yosemite Falls Trail","Yosemite National Park",37.74237,-119.60223,11587.248,967.74,7,53.628,1
10005585,"Half Dome Trail","Yosemite National Park",37.73465,-119.56583,23818.232,1573.9872,7,52.5316,1
10012319,"The Loch Lake Trail via Glacier Gorge Trail","Rocky Mountain National Park",40.31047,-105.64035,8690.436,326.7456,3,52.036,1
10259625,"Navajo Loop and Queen's Garden Trail","Bryce Canyon National Park",37.62328,-112.16706,4184.284,189.8904,3,52.0201,1
10005697,"Grinnell Glacier Trail","Glacier National Park",48.79724,-113.66887,18185.543,658.9776,5,49.8766,1
10007491,"Tolmie Peak Trail","Mount Rainier National Park",46.93736,-121.8677,8851.37,463.9056,3,49.5524,1
10234019,"Chimney Tops Trail","Great Smoky Mountains National Park",35.63544,-83.46976,5793.624,392.8872,5,49.5063,1
10012848,"Avalanche Lake via the Trail of the Cedars","Glacier National Park",48.68007,-113.81912,9173.238,227.9904,3,49.4404,1
10031204,"Alberta Falls Trail","Rocky Mountain National Park",40.31052,-105.64034,2574.944,76.8096,1,45.8306,1
10023187,"Skyline Trail","Mount Rainier National Park",46.78647,-121.73641,8529.502,535.8384,3,45.1568,1
10000685,"Rainbow Falls Trail","Great Smoky Mountains National Park",35.67592,-83.48668,8851.37,503.8344,3,45.0827,1
10026711,"Chasm Lake","Rocky Mountain National Park",40.27267,-105.55684,15127.796,792.7848,5,44.9877,1
10014357,"Zion Canyon Overlook Trail","Zion National Park",37.21324,-112.94058,1609.34,64.9224,3,44.8887,1
10002171,"Grotto Falls Trail","Great Smoky Mountains National Park",35.68027,-83.46261,4184.284,162.7632,3,44.5689,1
10264164,"Dream Lake Trail","Rocky Mountain National Park",40.31194,-105.64562,3218.68,129.8448,1,44.3632,1
10026952,"Moro Rock Trail","Sequoia National Park",36.54685,-118.76565,643.736,56.9976,3,44.1235,1
10031103,"Devils Garden Loop Trail with 7 Arches","Arches National Park",38.78271,-109.59429,12070.05,325.8312,5,44.0494,1
10006208,"The Beehive Loop Trail","Acadia National Park",44.33153,-68.1852,2253.076,148.7424,5,43.9161,1
10011926,"Lower Yosemite Falls Trail","Yosemite National Park",37.74587,-119.59266,1609.34,15.8496,1,43.3499,1
